match_id,season,date,venue,team,opp,is_home,toss_won,team_bats_first,toss_won_bat_first,form_rate,form_diff,home_toss_won,home_toss_bat_first,elo_team,elo_opp,venue_win_rate,win_flag,is_home_x_toss_won,elo_diff
571256,2012/13,2013-01-04,Western Australia Cricket Association Ground,Perth Scorchers,Sydney Thunder,1,0,0,0,0.5,0.5,0,0,1526.8537190548684,1434.7640007223915,1.0,1,0,92.08971833247688
571256,2012/13,2013-01-04,Western Australia Cricket Association Ground,Sydney Thunder,Perth Scorchers,0,1,1,1,0.0,-0.5,0,0,1434.7640007223915,1526.8537190548684,1.0,0,0,-92.08971833247688
571258,2012/13,2013-01-06,Melbourne Cricket Ground,Melbourne Stars,Melbourne Renegades,1,1,1,1,0.625,0.0,1,1,1513.2305751072395,1520.214459558405,1.0,0,1,-6.9838844511655225
571258,2012/13,2013-01-06,Melbourne Cricket Ground,Melbourne Renegades,Melbourne Stars,0,0,0,0,0.625,0.0,1,1,1520.214459558405,1513.2305751072395,1.0,1,0,6.9838844511655225
571259,2012/13,2013-01-07,"Brisbane Cricket Ground, Woolloongabba",Brisbane Heat,Sydney Sixers,1,1,1,1,0.5,-0.125,1,1,1483.076505865811,1530.2235979868103,1.0,0,1,-47.14709212099933
571259,2012/13,2013-01-07,"Brisbane Cricket Ground, Woolloongabba",Sydney Sixers,Brisbane Heat,0,0,0,0,0.625,0.125,1,1,1530.2235979868103,1483.076505865811,1.0,1,0,47.14709212099933
571260,2012/13,2013-01-08,Melbourne Cricket Ground,Melbourne Stars,Sydney Thunder,1,1,1,1,0.625,0.625,1,1,1503.4315603908092,1427.3541808815726,1.0,1,1,76.07737950923661
571260,2012/13,2013-01-08,Melbourne Cricket Ground,Sydney Thunder,Melbourne Stars,0,0,0,0,0.0,-0.625,1,1,1427.3541808815726,1503.4315603908092,1.0,0,0,-76.07737950923661
571262,2012/13,2013-01-10,Adelaide Oval,Adelaide Strikers,Perth Scorchers,1,0,0,0,0.375,-0.25,0,0,1467.976516220981,1534.2635388956874,1.0,0,0,-66.28702267470635
571262,2012/13,2013-01-10,Adelaide Oval,Perth Scorchers,Adelaide Strikers,0,1,1,1,0.625,0.25,0,0,1534.2635388956874,1467.976516220981,1.0,1,0,66.28702267470635
571264,2012/13,2013-01-15,Docklands Stadium,Melbourne Renegades,Brisbane Heat,1,0,0,0,0.75,0.25,0,0,1530.0134742748353,1474.4252396277202,1.0,0,0,55.58823464711509
571264,2012/13,2013-01-15,Docklands Stadium,Brisbane Heat,Melbourne Renegades,0,1,1,1,0.5,-0.25,0,0,1474.4252396277202,1530.0134742748353,1.0,1,0,-55.58823464711509
571265,2012/13,2013-01-16,Western Australia Cricket Association Ground,Perth Scorchers,Melbourne Stars,1,1,0,0,0.625,0.0,1,0,1542.3784623371778,1511.2762153081085,1.0,1,1,31.102247029069304
571265,2012/13,2013-01-16,Western Australia Cricket Association Ground,Melbourne Stars,Perth Scorchers,0,0,1,0,0.625,0.0,1,0,1511.2762153081085,1542.3784623371778,1.0,0,0,-31.102247029069304
571266,2012/13,2013-01-19,Western Australia Cricket Association Ground,Perth Scorchers,Brisbane Heat,1,0,0,0,0.75,0.25,0,0,1551.4856513510722,1486.0116837331946,1.0,0,0,65.47396761787763
571266,2012/13,2013-01-19,Western Australia Cricket Association Ground,Brisbane Heat,Perth Scorchers,0,1,1,1,0.5,-0.25,0,0,1486.0116837331946,1551.4856513510722,1.0,1,0,-65.47396761787763
654031,2013/14,2013-12-20,Melbourne Cricket Ground,Melbourne Stars,Melbourne Renegades,1,0,1,0,0.5,-0.25,0,0,1502.169026294214,1518.427030169361,1.0,1,0,-16.25800387514687
654031,2013/14,2013-12-20,Melbourne Cricket Ground,Melbourne Renegades,Melbourne Stars,0,1,0,0,0.75,0.25,0,0,1518.427030169361,1502.169026294214,1.0,0,0,16.25800387514687
654033,2013/14,2013-12-21,Sydney Cricket Ground,Sydney Sixers,Sydney Thunder,1,1,0,0,0.625,0.625,1,0,1538.874864224901,1419.5095259642733,1.0,1,1,119.36533826062782
654033,2013/14,2013-12-21,Sydney Cricket Ground,Sydney Thunder,Sydney Sixers,0,0,1,0,0.0,-0.625,1,0,1419.5095259642733,1538.874864224901,1.0,0,0,-119.36533826062782
654037,2013/14,2013-12-22,"Brisbane Cricket Ground, Woolloongabba",Brisbane Heat,Perth Scorchers,1,0,0,0,0.5,-0.25,0,0,1497.8741803456232,1539.6231547386435,1.0,1,0,-41.74897439302026
654037,2013/14,2013-12-22,"Brisbane Cricket Ground, Woolloongabba",Perth Scorchers,Brisbane Heat,0,1,1,1,0.75,0.25,0,0,1539.6231547386435,1497.8741803456232,1.0,0,0,41.74897439302026
654039,2013/14,2013-12-26,Western Australia Cricket Association Ground,Perth Scorchers,Melbourne Renegades,1,1,1,1,0.75,0.125,1,1,1528.4272729867112,1507.959428455946,1.0,1,1,20.467844530765205
654039,2013/14,2013-12-26,Western Australia Cricket Association Ground,Melbourne Renegades,Perth Scorchers,0,0,0,0,0.625,-0.125,1,1,1507.959428455946,1528.4272729867112,1.0,0,0,-20.467844530765205
654041,2013/14,2013-12-27,Stadium Australia,Sydney Thunder,Adelaide Strikers,0,1,0,0,0.0,-0.375,0,0,1412.816054420478,1459.8615927794906,1.0,0,0,-47.04553835901265
654041,2013/14,2013-12-27,Stadium Australia,Adelaide Strikers,Sydney Thunder,0,0,1,0,0.375,0.375,0,0,1459.8615927794906,1412.816054420478,1.0,1,0,47.04553835901265
654043,2013/14,2013-12-28,"Brisbane Cricket Ground, Woolloongabba",Brisbane Heat,Hobart Hurricanes,1,1,1,1,0.625,0.125,1,1,1509.0700620975556,1523.6606254834933,1.0,0,1,-14.590563385937685
654043,2013/14,2013-12-28,"Brisbane Cricket Ground, Woolloongabba",Hobart Hurricanes,Brisbane Heat,0,0,0,0,0.5,-0.125,1,1,1523.6606254834933,1509.0700620975556,1.0,1,0,14.590563385937685
654045,2013/14,2013-12-29,Sydney Cricket Ground,Sydney Sixers,Melbourne Stars,1,1,0,0,0.625,0.0,1,0,1545.5683357686964,1512.636628007629,1.0,0,1,32.9317077610674
654045,2013/14,2013-12-29,Sydney Cricket Ground,Melbourne Stars,Sydney Sixers,0,0,1,0,0.625,0.0,1,0,1512.636628007629,1545.5683357686964,1.0,1,0,-32.9317077610674
